METRICA,VALORE,NOTE
Concorsi analizzati,4179,Conteggio archivio fino al concorso 4179
Media hit/sestina,0.39,Media numeri corretti per concorso
Hit rate >= 2,4.8%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2758,Numero concorsi con esattamente 0 hit
Con 1 hit,1221,Numero concorsi con esattamente 1 hit
Con 2 hit,183,Numero concorsi con esattamente 2 hit
Con 3 hit,16,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,6,Massima sequenza di concorsi con almeno 1 hit
Media hit ultimi 100,0.34,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4179,Data estrazione: 14/04/2026
Concorso successivo stimato,4180,Sestina proposta: 82 79 49 65 86 85
Sestina proposta (prossimo concorso),82 79 49 65 86 85,Pronostico prodotto con addestramento incrementale
Split pari/dispari modale,3/3,Frequenza storica piu comune
Split bassi/alti modale,3/3,Bassi=1..45 | Alti=46..90
Profilo raggruppamento modale,2-1-1-1-1,Occupazioni per decade ordinate in modo decrescente
Somma media sestina,276.6,Media storica della somma dei 6 numeri
Ampiezza media (max-min),65.2,Media storica della dispersione
Fascia somma piu frequente,275-299,Banding somma con passo 25
